hits,MC1um,MC2.5um,MC10um,AMC1um,AMC2.5um,AMC10um,NC03um,NC05um,NC10um,NC25um,NC50um,NC100um
1,0,0,0,0,0,0,156,25,0,0,0,0
2,10,38,61,10,34,54,2661,765,390,82,29,23
3,67,264,365,44,176,243,16149,4815,2448,499,132,81
4,110,442,594,73,294,395,25887,7834,4010,818,197,108
5,108,419,562,71,279,374,24828,7492,3799,772,184,102
6,106,399,540,69,265,359,24387,7358,3694,748,182,102
7,108,399,533,71,265,355,24126,7221,3640,739,169,94
8,104,386,528,68,256,352,23871,7038,3462,758,178,100
9,98,382,543,64,254,362,23226,6848,3423,825,198,108
10,98,381,523,64,253,348,22857,6862,3402,774,165,100
11,101,383,526,66,255,350,22989,6891,3390,759,161,98
12,99,373,507,65,248,337,22983,6859,3360,729,149,92
13,100,371,502,66,247,334,22884,6784,3339,702,151,94
14,100,370,523,66,246,348,22869,6755,3356,734,190,118
15,103,376,525,68,250,349,23181,6916,3434,708,189,115
16,101,371,516,67,247,343,23028,6882,3391,687,183,113
17,98,368,503,65,245,335,22317,6726,3418,681,170,95
18,101,380,512,67,253,341,22980,6893,3445,723,164,78
19,98,380,523,65,253,348,22869,6823,3462,733,180,90
20,93,367,520,61,244,346,22212,6664,3418,703,190,110
21,97,367,497,64,244,331,22320,6663,3401,665,157,100
22,100,368,502,66,245,334,22584,6747,3408,678,168,98
23,101,374,514,67,249,342,23034,6872,3432,686,178,108
24,101,383,553,67,255,368,23058,6937,3482,773,220,136
25,101,370,526,67,246,350,22836,6849,3386,711,200,124
26,102,368,526,67,245,350,23037,6927,3439,688,197,120
27,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,-,-
27,66,184,229,43,122,152,0,0,0,0,0,0
28,69,218,273,45,144,181,0,0,0,0,0,0
29,71,228,304,47,151,202,14613,4400,1945,381,95,42
30,68,218,308,45,145,205,14292,4352,1943,387,99,62
31,68,212,308,44,140,205,14085,4297,1879,395,122,72
32,82,287,407,54,191,270,18165,5457,2503,565,157,92
33,100,381,516,66,253,344,23115,6887,3446,718,179,96
34,102,370,522,67,246,347,23391,6930,3469,714,210,100
35,101,358,518,66,238,345,22998,6849,3323,695,215,110
36,98,353,503,64,234,334,22719,6726,3269,670,189,104
37,102,358,480,67,238,319,23001,6818,3269,639,146,86
38,103,359,468,68,238,311,22920,6821,3283,595,130,74
39,104,363,465,68,242,309,22845,6855,3346,584,123,72
40,99,354,467,65,235,310,22101,6678,3278,613,141,78
41,95,357,483,63,237,321,21915,6556,3251,657,171,82
42,97,356,489,64,237,325,21957,6525,3191,686,178,86
43,97,358,495,64,238,329,21987,6535,3218,688,184,88
44,101,354,485,67,235,323,22257,6604,3165,666,171,82
45,101,344,480,66,229,319,22272,6581,3133,662,175,86
46,99,352,484,65,234,322,22362,6636,3211,653,168,92
47,94,351,479,62,233,319,21702,6460,3164,642,161,106
48,96,357,496,63,237,330,22005,6586,3183,691,176,104
49,96,377,509,63,251,339,22578,6721,3364,742,170,90
50,95,364,482,62,242,320,22575,6706,3287,677,164,80
51,98,368,495,65,244,329,22356,6644,3212,651,160,88
52,97,362,505,64,241,336,22503,6690,3261,695,182,100
53,98,362,511,65,241,340,22542,6711,3297,695,189,106
54,98,365,508,64,242,338,22665,6764,3334,716,180,100
55,98,367,502,64,244,334,22389,6707,3329,697,171,94
56,100,382,528,66,254,352,23106,6936,3443,749,190,96
57,100,378,525,66,251,350,23025,6907,3449,746,187,98
58,98,363,514,64,241,342,22752,6782,3350,725,193,100
59,95,347,487,62,230,324,21927,6549,3264,631,173,100
60,96,365,496,63,242,330,22404,6707,3383,614,166,100
